timestamp,time_year_sin,time_year_cos,time_day_sin,time_day_cos,import_price,export_price,1_Prosumer,2_Prosumer,3_Prosumer,4_Prosumer,5_Prosumer,6_Buyer,7_Buyer,8_Seller,9_Seller
2024-01-01 00:00:00,0.0172,0.9999,0.0,1.0,7.58,4.17,0.8787,0.9509,0.7672,0.7517,0.781,0.6394,0.6932,-0.0,-0.0
2024-01-01 01:00:00,0.0172,0.9999,0.2588,0.9659,14.66,7.34,0.7221,0.7108,0.7337,0.6055,0.6417,0.5372,0.6184,-0.0,-0.0
2024-01-01 02:00:00,0.0172,0.9999,0.5,0.866,6.55,3.71,0.7432,0.6735,0.6531,0.5637,0.6095,0.5122,0.5951,-0.0,-0.0
2024-01-01 03:00:00,0.0172,0.9999,0.7071,0.7071,5.21,3.11,0.6224,0.6873,0.6556,0.5663,0.5162,0.5723,0.5435,-0.0,-0.0
2024-01-01 04:00:00,0.0172,0.9999,0.866,0.5,2.31,1.81,0.568,0.6117,0.5529,0.5255,0.4932,0.699,0.4749,-0.0,-0.0
2024-01-01 05:00:00,0.0172,0.9999,0.9659,0.2588,2.1,1.72,0.5305,0.5123,0.4956,0.5165,0.4448,0.8099,0.4424,-0.0,-0.0
2024-01-01 06:00:00,0.0172,0.9999,1.0,0.0,0.21,0.87,0.5433,0.5221,0.6033,0.4805,0.4017,0.814,0.4616,-0.0,-0.0
2024-01-01 07:00:00,0.0172,0.9999,0.9659,-0.2588,5.25,3.13,0.5561,0.5866,0.5804,0.5008,0.4365,0.6755,0.4139,-0.0,-0.0
2024-01-01 08:00:00,0.0172,0.9999,0.866,-0.5,5.88,3.41,0.5987,0.6474,0.6691,0.5159,0.4476,0.5573,0.4478,-0.003,-0.013
2024-01-01 09:00:00,0.0172,0.9999,0.7071,-0.7071,10.08,5.29,0.5612,0.6692999999999999,0.697,0.5351999999999999,0.4523,0.504,0.547,-0.028,-0.066
2024-01-01 10:00:00,0.0172,0.9999,0.5,-0.866,10.08,5.29,0.5348999999999999,0.8431,0.6533,0.4608,0.483,0.5087,0.668,-0.051,-0.136
2024-01-01 11:00:00,0.0172,0.9999,0.2588,-0.9659,14.91,7.45,0.5875999999999999,0.905,0.7938000000000001,0.5702,0.6705,0.6028,0.6751,-0.061,-0.11
2024-01-01 12:00:00,0.0172,0.9999,0.0,-1.0,11.55,5.95,0.6783,0.866,0.8518,0.5548000000000001,0.6955,0.7955,0.8066,-0.049,-0.082
2024-01-01 13:00:00,0.0172,0.9999,-0.2588,-0.9659,15.81,7.86,0.7609,0.8664999999999999,0.9158,0.6556,0.7746,0.8774,0.7156,-0.026,-0.056
2024-01-01 14:00:00,0.0172,0.9999,-0.5,-0.866,14.45,7.25,0.7999999999999999,0.8059999999999999,0.987,0.7195,0.8059999999999999,0.7943,0.667,-0.009,-0.017
2024-01-01 15:00:00,0.0172,0.9999,-0.7071,-0.7071,12.6,6.42,0.8167,0.9025,0.9605,0.769,0.7931,0.7661,0.7191,-0.0,-0.0
2024-01-01 16:00:00,0.0172,0.9999,-0.866,-0.5,32.51,15.02,0.9034,1.0,1.0,0.8825,0.8766,0.8133,0.7646,-0.0,-0.0
2024-01-01 17:00:00,0.0172,0.9999,-0.9659,-0.2588,34.86,16.07,0.9334,1.0,1.0,0.8976,1.0,0.8277,0.9076,-0.0,-0.0
2024-01-01 18:00:00,0.0172,0.9999,-1.0,-0.0,33.18,15.32,0.9871,1.0,1.0,1.0,1.0,1.0,0.9959,-0.0,-0.0
2024-01-01 19:00:00,0.0172,0.9999,-0.9659,0.2588,15.12,7.55,0.9531,1.0,1.0,1.0,0.8873,0.9624,1.0,-0.0,-0.0
2024-01-01 20:00:00,0.0172,0.9999,-0.866,0.5,10.92,5.67,0.9854,0.9995,0.9632,0.9308,0.8329,0.7999,0.9389,-0.0,-0.0
2024-01-01 21:00:00,0.0172,0.9999,-0.7071,0.7071,15.12,7.55,0.9023,0.9408,0.8785,0.7997,0.7806,0.7223,0.8997,-0.0,-0.0
2024-01-01 22:00:00,0.0172,0.9999,-0.5,0.866,10.75,5.59,0.8637,1.0,0.8526,0.7843,0.7646,0.7435,0.8259,-0.0,-0.0
2024-01-01 23:00:00,0.0172,0.9999,-0.2588,0.9659,3.02,2.13,0.7883,0.897,0.7171,0.6677,0.6331,0.7607,0.7146,-0.0,-0.0
2024-01-02 00:00:00,0.0344,0.9994,0.0,1.0,-1.93,0.0,0.716,0.788,0.604,0.699,0.698,0.7052,0.7285,-0.0,-0.0
2024-01-02 01:00:00,0.0344,0.9994,0.2588,0.9659,1.47,1.44,0.5815,0.6135,0.6059,0.5724,0.6607,0.5352,0.5326,-0.0,-0.0
2024-01-02 02:00:00,0.0344,0.9994,0.5,0.866,2.39,1.85,0.583,0.5227,0.604,0.4647,0.5725,0.4856,0.4454,-0.0,-0.0
2024-01-02 03:00:00,0.0344,0.9994,0.7071,0.7071,2.54,1.92,0.592,0.5146,0.5486,0.4884,0.5397,0.5671,0.4251,-0.0,-0.0
2024-01-02 04:00:00,0.0344,0.9994,0.866,0.5,3.15,2.19,0.5008,0.5076,0.5063,0.4666,0.5165,0.608,0.3741,-0.0,-0.0
2024-01-02 05:00:00,0.0344,0.9994,0.9659,0.2588,1.05,1.25,0.4455,0.5128,0.4832,0.4591,0.4824,0.794,0.3946,-0.0,-0.0
2024-01-02 06:00:00,0.0344,0.9994,1.0,0.0,7.35,4.07,0.5064,0.6081,0.572,0.4153,0.4382,0.7924,0.4069,-0.0,-0.0
2024-01-02 07:00:00,0.0344,0.9994,0.9659,-0.2588,11.55,5.95,0.5845,0.654,0.6508,0.5288,0.5389,0.7008,0.5036,-0.0,-0.0
2024-01-02 08:00:00,0.0344,0.9994,0.866,-0.5,13.44,6.8,0.5603,0.6588,0.7139,0.6478,0.5349,0.618,0.5462,-0.0,-0.0
2024-01-02 09:00:00,0.0344,0.9994,0.7071,-0.7071,17.39,8.56,0.7253,0.6325999999999999,0.7181,0.6903,0.6081,0.598,0.6279,-0.013,-0.008
2024-01-02 10:00:00,0.0344,0.9994,0.5,-0.866,14.15,7.12,0.7495999999999999,0.6758,0.7575,0.6288,0.6441,0.6707,0.6351,-0.028,-0.017
2024-01-02 11:00:00,0.0344,0.9994,0.2588,-0.9659,17.47,8.6,0.712,0.7297,0.7035,0.5367,0.6332,0.6676,0.6334,-0.032,-0.031
2024-01-02 12:00:00,0.0344,0.9994,0.0,-1.0,18.19,8.92,0.7208,0.8732,0.7541,0.6359,0.5947,0.7689,0.7401,-0.043,-0.037
2024-01-02 13:00:00,0.0344,0.9994,-0.2588,-0.9659,19.32,9.43,0.7624,0.8543,0.745,0.6941999999999999,0.6534,0.9305,0.7597,-0.052,-0.027
2024-01-02 14:00:00,0.0344,0.9994,-0.5,-0.866,17.85,8.77,0.8054,0.968,0.8597,0.6436999999999999,0.6698999999999999,0.9001,0.6924,-0.027,-0.022
2024-01-02 15:00:00,0.0344,0.9994,-0.7071,-0.7071,15.2,7.59,0.9603,0.7725,0.8323,0.7408,0.7137,0.8404,0.6694,-0.004,-0.002
2024-01-02 16:00:00,0.0344,0.9994,-0.866,-0.5,30.45,14.1,0.9107,0.9657,0.7876,0.7437,0.7693,0.8778,0.6975,-0.0,-0.0
2024-01-02 17:00:00,0.0344,0.9994,-0.9659,-0.2588,30.87,14.29,0.9784,1.0,0.941,0.8354,0.9718,0.9589,0.8426,-0.0,-0.0
2024-01-02 18:00:00,0.0344,0.9994,-1.0,-0.0,30.45,14.1,1.0,1.0,1.0,0.9657,1.0,1.0,0.8303,-0.0,-0.0
2024-01-02 19:00:00,0.0344,0.9994,-0.9659,0.2588,15.9,7.9,1.0,0.978,1.0,1.0,1.0,1.0,0.9965,-0.0,-0.0
2024-01-02 20:00:00,0.0344,0.9994,-0.866,0.5,16.78,8.29,1.0,1.0,1.0,0.9942,0.9554,1.0,0.9851,-0.0,-0.0
2024-01-02 21:00:00,0.0344,0.9994,-0.7071,0.7071,15.9,7.9,1.0,1.0,1.0,0.8544,0.8128,1.0,0.9899,-0.0,-0.0
2024-01-02 22:00:00,0.0344,0.9994,-0.5,0.866,13.23,6.7,0.9612,0.9683,1.0,0.84,0.8607,0.9312,0.8728,-0.0,-0.0
2024-01-02 23:00:00,0.0344,0.9994,-0.2588,0.9659,16.38,8.11,0.8974,0.8986,0.8241,0.7272,0.8182,0.7601,0.7412,-0.0,-0.0
2024-01-03 00:00:00,0.0516,0.9987,0.0,1.0,14.28,7.17,0.9148,0.818,0.6821,0.7157,0.766,0.7643,0.6775,-0.0,-0.0
2024-01-03 01:00:00,0.0516,0.9987,0.2588,0.9659,17.28,8.52,0.7041,0.6689,0.7164,0.5891,0.8154,0.6128,0.539,-0.0,-0.0
2024-01-03 02:00:00,0.0516,0.9987,0.5,0.866,15.48,7.71,0.5977,0.5968,0.6404,0.548,0.7053,0.4879,0.51,-0.0,-0.0
2024-01-03 03:00:00,0.0516,0.9987,0.7071,0.7071,15.54,7.74,0.6044,0.5322,0.598,0.5789,0.6788,0.5955,0.4157,-0.0,-0.0
2024-01-03 04:00:00,0.0516,0.9987,0.866,0.5,13.96,7.03,0.5589,0.5093,0.5788,0.5492,0.5861,0.6675,0.3849,-0.0,-0.0
2024-01-03 05:00:00,0.0516,0.9987,0.9659,0.2588,15.41,7.68,0.4677,0.4752,0.5623,0.5457,0.4824,0.81,0.3995,-0.0,-0.0
2024-01-03 06:00:00,0.0516,0.9987,1.0,0.0,15.96,7.92,0.5032,0.4568,0.5764,0.5449,0.4386,0.8086,0.3792,-0.0,-0.0
2024-01-03 07:00:00,0.0516,0.9987,0.9659,-0.2588,16.13,8.0,0.5245,0.4905,0.6324,0.5602,0.4124,0.6853,0.3874,-0.0,-0.0
