data_collection_log_timestamp,SSEN-2506608140,SSEN-2518012120,SSEN-2521012110,SSEN-2522012150,SSEN-2803012140,SSEN-7900001010,SSEN-7900004087,SSEN-7991001005,SSEN-8034001010,SSEN-8103001005,SSEN-8184001005,SSEN-8184001020,SSEN-8079001005,SSEN-2509015020,SSEN-2503607020
2024-01-01 00:00:00+00:00,0.8787,0.9509,0.7672,0.7517,0.781,0.6394,0.6932,0.5136,0.6732,0.9855,0.273,0.3415,0,0.6212,0.5734
2024-01-01 01:00:00+00:00,0.7221,0.7108,0.7337,0.6055,0.6417,0.5372,0.6184,0.4643,0.6065,0.8165,0.2526,0.2746,0,1,0.8447
2024-01-01 02:00:00+00:00,0.7432,0.6735,0.6531,0.5637,0.6095,0.5122,0.5951,0.4796,0.5739,0.6983,0.2299,0.2282,0,1,0.7281
2024-01-01 03:00:00+00:00,0.6224,0.6873,0.6556,0.5663,0.5162,0.5723,0.5435,0.4126,0.4773,0.6076,0.1866,0.2828,0,0.6256,0.6003
2024-01-01 04:00:00+00:00,0.568,0.6117,0.5529,0.5255,0.4932,0.699,0.4749,0.3875,0.3656,0.5935,0.1522,0.2332,0,0.4623,0.6381
2024-01-01 05:00:00+00:00,0.5305,0.5123,0.4956,0.5165,0.4448,0.8099,0.4424,0.4329,0.2549,0.6575,0.1426,0.2128,0,0.5052,0.5256
2024-01-01 06:00:00+00:00,0.5433,0.5221,0.6033,0.4805,0.4017,0.814,0.4616,0.3529,0.2604,0.6052,0.1794,0.2119,0,0.3976,0.5272
2024-01-01 07:00:00+00:00,0.5561,0.5866,0.5804,0.5008,0.4365,0.6755,0.4139,0.3445,0.2613,0.6307,0.1823,0.1966,0,0.2117,0.4164
2024-01-01 08:00:00+00:00,0.6047,0.6524,0.6741,0.5209,0.4526,0.5573,0.4478,0.3547,0.2976,0.6814,0.2049,0.22,0,0.1744,0.2392
2024-01-01 09:00:00+00:00,0.6662,0.7273,0.753,0.5932,0.5103,0.504,0.547,0.4256,0.3844,0.6265,0.2352,0.2603,0,0.1901,0.2076
2024-01-01 10:00:00+00:00,0.7199,0.9601,0.7683,0.5778,0.601,0.5087,0.668,0.4898,0.4853,0.6794,0.2847,0.3097,0,0.2844,0.2597
2024-01-01 11:00:00+00:00,0.7816,1,0.8878,0.6642,0.7655,0.6028,0.6751,0.5829,0.5616,0.8249,0.3257,0.3432,0,0.2711,0.3346
2024-01-01 12:00:00+00:00,0.8273,0.944,0.9298,0.6318,0.7735,0.7955,0.8066,0.8473,0.6896,0.968,0.4311,0.4082,0,0.2224,0.3584
2024-01-01 13:00:00+00:00,0.8359,0.9155,0.9648,0.7036,0.8236,0.8774,0.7156,0.9021,0.8545,0.9423,0.431,0.364,0,0.2682,0.3923
2024-01-01 14:00:00+00:00,0.821,0.819,1,0.7325,0.819,0.7943,0.667,0.8672,0.7091,0.8299,0.4657,0.418,0,0.2836,0.4017
2024-01-01 15:00:00+00:00,0.8167,0.9025,0.9605,0.769,0.7931,0.7661,0.7191,0.8227,0.8389,0.8912,0.4046,0.4055,0,0.2884,0.5281
2024-01-01 16:00:00+00:00,0.9034,1,1,0.8825,0.8766,0.8133,0.7646,0.8055,0.8869,0.9575,0.441,0.4318,0,0.2934,0.4482
2024-01-01 17:00:00+00:00,0.9334,1,1,0.8976,1,0.8277,0.9076,0.8603,0.9667,1,0.4383,0.4529,0,0.3113,0.4911
2024-01-01 18:00:00+00:00,0.9871,1,1,1,1,1,0.9959,0.8755,1,1,0.5096,0.4564,0,0.3104,0.5892
