timestamp,SSEN-2506608140,SSEN-2518012120,SSEN-2521012110,SSEN-2522012150,SSEN-2803012140,SSEN-7900001010,SSEN-7900004087,SSEN-7991001005,SSEN-8034001010,User
01/01/2024 00:00,0.8787,0.9509,0.7672,0.7517,0.781,0.6394,0.6932,0.5136,0.6732,0.5349
01/01/2024 01:00,0.7221,0.7108,0.7337,0.6055,0.6417,0.5372,0.6184,0.4643,0.6065,0.5276
01/01/2024 02:00,0.7432,0.6735,0.6531,0.5637,0.6095,0.5122,0.5951,0.4796,0.5739,0.4916
01/01/2024 03:00,0.6224,0.6873,0.6556,0.5663,0.5162,0.5723,0.5435,0.4126,0.4773,0.4598
01/01/2024 04:00,0.568,0.6117,0.5529,0.5255,0.4932,0.699,0.4749,0.3875,0.3656,0.4406
01/01/2024 05:00,0.5305,0.5123,0.4956,0.5165,0.4448,0.8099,0.4424,0.4329,0.2549,0.4379
01/01/2024 06:00,0.5433,0.5221,0.6033,0.4805,0.4017,0.814,0.4616,0.3529,0.2604,0.4604
01/01/2024 07:00,0.5561,0.5866,0.5804,0.5008,0.4365,0.6755,0.4139,0.3445,0.2613,0.4867
01/01/2024 08:00,0.6047,0.6524,0.6741,0.5209,0.4526,0.5573,0.4478,0.3547,0.2976,0.5271
01/01/2024 09:00,0.6662,0.7273,0.753,0.5932,0.5103,0.504,0.547,0.4256,0.3844,0.5665
01/01/2024 10:00,0.7199,0.9601,0.7683,0.5778,0.601,0.5087,0.668,0.4898,0.4853,0.5956
01/01/2024 11:00,0.7816,1,0.8878,0.6642,0.7655,0.6028,0.6751,0.5829,0.5616,0.6352
01/01/2024 12:00,0.8273,0.944,0.9298,0.6318,0.7735,0.7955,0.8066,0.8473,0.6896,0.6833
01/01/2024 13:00,0.8359,0.9155,0.9648,0.7036,0.8236,0.8774,0.7156,0.9021,0.8545,0.7176
01/01/2024 14:00,0.821,0.819,1,0.7325,0.819,0.7943,0.667,0.8672,0.7091,0.7406
01/01/2024 15:00,0.8167,0.9025,0.9605,0.769,0.7931,0.7661,0.7191,0.8227,0.8389,0.7757
01/01/2024 16:00,0.9034,1,1,0.8825,0.8766,0.8133,0.7646,0.8055,0.8869,0.8279
01/01/2024 17:00,0.9334,1,1,0.8976,1,0.8277,0.9076,0.8603,0.9667,0.8369
01/01/2024 18:00,0.9871,1,1,1,1,1,0.9959,0.8755,1,0.8008
01/01/2024 19:00,0.9531,1,1,1,0.8873,0.9624,1,1,0.8887,0.7509
01/01/2024 20:00,0.9854,0.9995,0.9632,0.9308,0.8329,0.7999,0.9389,0.887,0.9387,0.6829
01/01/2024 21:00,0.9023,0.9408,0.8785,0.7997,0.7806,0.7223,0.8997,0.8065,0.9677,0.6164
01/01/2024 22:00,0.8637,1,0.8526,0.7843,0.7646,0.7435,0.8259,0.5505,0.672,0.5535
01/01/2024 23:00,0.7883,0.897,0.7171,0.6677,0.6331,0.7607,0.7146,0.5453,0.5824,0.4934
02/01/2024 00:00,0.716,0.788,0.604,0.699,0.698,0.7052,0.7285,0.4802,0.5908,0.4883
02/01/2024 01:00,0.5815,0.6135,0.6059,0.5724,0.6607,0.5352,0.5326,0.4499,0.5184,0.4757
02/01/2024 02:00,0.583,0.5227,0.604,0.4647,0.5725,0.4856,0.4454,0.3288,0.3609,0.4614
02/01/2024 03:00,0.592,0.5146,0.5486,0.4884,0.5397,0.5671,0.4251,0.3328,0.3288,0.4489
02/01/2024 04:00,0.5008,0.5076,0.5063,0.4666,0.5165,0.608,0.3741,0.2916,0.3809,0.4457
02/01/2024 05:00,0.4455,0.5128,0.4832,0.4591,0.4824,0.794,0.3946,0.2976,0.3271,0.4658
02/01/2024 06:00,0.5064,0.6081,0.572,0.4153,0.4382,0.7924,0.4069,0.3039,0.273,0.55
02/01/2024 07:00,0.5845,0.654,0.6508,0.5288,0.5389,0.7008,0.5036,0.3762,0.3065,0.6487
02/01/2024 08:00,0.5613,0.6588,0.7139,0.6478,0.5349,0.618,0.5462,0.5609,0.327,0.7437
02/01/2024 09:00,0.7343,0.6406,0.7261,0.6983,0.6161,0.598,0.6279,0.5329,0.5023,0.814
02/01/2024 10:00,0.7726,0.6968,0.7785,0.6498,0.6651,0.6707,0.6351,0.7135,0.7,0.8375
02/01/2024 11:00,0.737,0.7707,0.7445,0.5777,0.6742,0.6676,0.6334,0.6204,0.7407,0.8506
