secondary_substation_unique_id,geometry
SSEN-1902601140,POINT (-0.547958 51.659791)
SSEN-1902601160,POINT (-0.544376 51.661941)
SSEN-1902601280,POINT (-0.533992 51.653072)
SSEN-1902601300,POINT (-0.530038 51.65331)
SSEN-1902601320,POINT (-0.523377 51.654548)
SSEN-1902601340,POINT (-0.532239 51.655891)
SSEN-1902601360,POINT (-0.529362 51.650532)
SSEN-1908019330,POINT (-0.54142 51.518903)
SSEN-1909001200,POINT (-0.524821 51.444634)
SSEN-1909001210,POINT (-0.521847 51.443158)
SSEN-1909001220,POINT (-0.520419 51.439696)
SSEN-1909001230,POINT (-0.516534 51.437911)
SSEN-1909002220,POINT (-0.516175 51.48232)
SSEN-1909002240,POINT (-0.520168 51.481759)
SSEN-1909002250,POINT (-0.514546 51.479269)
SSEN-1909002285,POINT (-0.490267 51.481414)
SSEN-1909002340,POINT (-0.513185 51.480376)
SSEN-1909002350,POINT (-0.511689 51.479863)
SSEN-1909002360,POINT (-0.509589 51.481113)
SSEN-1909002380,POINT (-0.508717 51.479159)
SSEN-1909004450,POINT (-0.513865 51.477597)
SSEN-1909006060,POINT (-0.508269 51.460207)
SSEN-1909006120,POINT (-0.50384 51.46051)
SSEN-1909006140,POINT (-0.501536 51.459653)
SSEN-1909006160,POINT (-0.504401 51.458773)
SSEN-1909006180,POINT (-0.50398 51.463263)
SSEN-1909006260,POINT (-0.488371 51.456858)
SSEN-1909006280,POINT (-0.482191 51.457003)
SSEN-1909006300,POINT (-0.480675 51.45844)
SSEN-1909006320,POINT (-0.47843 51.460156)
SSEN-1909006340,POINT (-0.477406 51.458047)
SSEN-1909006350,POINT (-0.475776 51.457051)
SSEN-1909006360,POINT (-0.476346 51.45789)
SSEN-1909006380,POINT (-0.472691 51.456565)
SSEN-1909007050,POINT (-0.5442 51.473284)
SSEN-1909007060,POINT (-0.542229 51.472783)
SSEN-1909007090,POINT (-0.533414 51.471081)
SSEN-1909007100,POINT (-0.531559 51.466975)
SSEN-1909007120,POINT (-0.535584 51.461306)
SSEN-1909008007,POINT (-0.501868 51.465341)
SSEN-1909008020,POINT (-0.501951 51.461934)
SSEN-1909008080,POINT (-0.49327 51.478998)
SSEN-1910021120,POINT (-0.549928 51.459758)
SSEN-1913601020,POINT (-0.497554 51.610546)
SSEN-1913601040,POINT (-0.496992 51.61311)
SSEN-1913601090,POINT (-0.493777 51.626467)
SSEN-1913602030,POINT (-0.488381 51.604502)
SSEN-1913602040,POINT (-0.496409 51.604974)
SSEN-1913602060,POINT (-0.484727 51.603223)
SSEN-1913602080,POINT (-0.483245 51.601756)
SSEN-1913602090,POINT (-0.478655 51.607758)
SSEN-1913602100,POINT (-0.474395 51.606453)
SSEN-1913602140,POINT (-0.457943 51.611246)
SSEN-1913602170,POINT (-0.483526 51.600699)
SSEN-1913602180,POINT (-0.483123 51.596324)
SSEN-1913602200,POINT (-0.469806 51.596474)
SSEN-1913603020,POINT (-0.496665 51.609024)
SSEN-1913603040,POINT (-0.493234 51.60621)
SSEN-1913603050,POINT (-0.478182 51.602642)
SSEN-1913603060,POINT (-0.475479 51.602555)
SSEN-1913603080,POINT (-0.476099 51.604308)
SSEN-1913603100,POINT (-0.472625 51.60455)
SSEN-1913604030,POINT (-0.481504 51.605475)
SSEN-1913604040,POINT (-0.480884 51.608479)
SSEN-1913604060,POINT (-0.485283 51.61341)
SSEN-1913604100,POINT (-0.485993 51.615523)
SSEN-1914601020,POINT (-0.502107 51.571812)
SSEN-1914601040,POINT (-0.498559 51.573484)
SSEN-1914601060,POINT (-0.49552 51.580315)
SSEN-1914601140,POINT (-0.480664 51.589098)
SSEN-1914601260,POINT (-0.485001 51.590656)
SSEN-1914601280,POINT (-0.486217 51.593594)
SSEN-1914602040,POINT (-0.52405 51.573304)
SSEN-1914602045,POINT (-0.526996 51.572216)
SSEN-1914604020,POINT (-0.504184 51.568763)
SSEN-1914604040,POINT (-0.50231 51.567831)
SSEN-1914604060,POINT (-0.497221 51.565068)
SSEN-1914604080,POINT (-0.497298 51.566652)
SSEN-1914604120,POINT (-0.498457 51.569149)
SSEN-1914604220,POINT (-0.49192 51.558247)
SSEN-1914604240,POINT (-0.487394 51.554664)
SSEN-1914604280,POINT (-0.48659 51.552828)
SSEN-1914604300,POINT (-0.490517 51.554461)
SSEN-1914605020,POINT (-0.491825 51.552851)
SSEN-1914605160,POINT (-0.511363 51.5597)
SSEN-1914605280,POINT (-0.541101 51.552781)
SSEN-1914606020,POINT (-0.503711 51.577012)
SSEN-1914606060,POINT (-0.501974 51.581558)
SSEN-1914606120,POINT (-0.516953 51.580318)
SSEN-1914606160,POINT (-0.517779 51.57889)
SSEN-1914606180,POINT (-0.522791 51.579205)
SSEN-1914606200,POINT (-0.525495 51.579509)
SSEN-1914607030,POINT (-0.50043 51.583291)
SSEN-1914607040,POINT (-0.504463 51.585303)
SSEN-1914607080,POINT (-0.505877 51.581374)
SSEN-1914607300,POINT (-0.50658 51.593396)
SSEN-1914608010,POINT (-0.501311 51.579328)
SSEN-1914608030,POINT (-0.498534 51.582566)
SSEN-1917003040,POINT (-0.536699 51.498917)
SSEN-1917003060,POINT (-0.537274 51.494455)
SSEN-1917003070,POINT (-0.537651 51.493921)
SSEN-1917003090,POINT (-0.533908 51.50015)
SSEN-1917003100,POINT (-0.541106 51.497156)
SSEN-1917003120,POINT (-0.540828 51.498654)
SSEN-1917004020,POINT (-0.528163 51.498685)
SSEN-1917004040,POINT (-0.528594 51.500516)
SSEN-1917004100,POINT (-0.511749 51.502362)
SSEN-1917004120,POINT (-0.504961 51.499326)
SSEN-1917004180,POINT (-0.511685 51.507406)
SSEN-1917004190,POINT (-0.506771 51.506984)
SSEN-1917004220,POINT (-0.506387 51.50813)
SSEN-1917006020,POINT (-0.536068 51.489827)
SSEN-1917006040,POINT (-0.542908 51.50029)
SSEN-1917006060,POINT (-0.539237 51.505145)
SSEN-1917006070,POINT (-0.542732 51.504891)
SSEN-1917007010,POINT (-0.532631 51.499082)
SSEN-1917007040,POINT (-0.530767 51.500606)
SSEN-1917007050,POINT (-0.532004 51.502456)
SSEN-1917007060,POINT (-0.53562 51.500217)
SSEN-1917007070,POINT (-0.535205 51.502828)
SSEN-1917007080,POINT (-0.541257 51.503263)
SSEN-1917009010,POINT (-0.531537 51.494573)
SSEN-1917009020,POINT (-0.536173 51.488363)
SSEN-1917009030,POINT (-0.536244 51.487491)
SSEN-1917009035,POINT (-0.534342 51.488123)
SSEN-1917009040,POINT (-0.533431 51.485838)
SSEN-1917009050,POINT (-0.531524 51.486003)
SSEN-1917009060,POINT (-0.530702 51.48289)
SSEN-1917009070,POINT (-0.528408 51.484813)
SSEN-1917009090,POINT (-0.52528 51.483559)
SSEN-1917009100,POINT (-0.524552 51.484692)
SSEN-1917009110,POINT (-0.522561 51.483453)
SSEN-1917009120,POINT (-0.521787 51.484244)
SSEN-1919602008,POINT (-0.53269 51.57432)
SSEN-1919602018,POINT (-0.538329 51.567878)
SSEN-1919602030,POINT (-0.54291 51.567791)
SSEN-1919603050,POINT (-0.529724 51.573681)
SSEN-1919603070,POINT (-0.518245 51.572098)
SSEN-1919605010,POINT (-0.549339 51.581703)
SSEN-1919605020,POINT (-0.541455 51.581315)
SSEN-1919605220,POINT (-0.54642 51.586361)
SSEN-1919610010,POINT (-0.549846 51.588004)
SSEN-1919610030,POINT (-0.54965 51.590987)
SSEN-1919610090,POINT (-0.549792 51.593326)
SSEN-1920001020,POINT (-0.542068 51.493725)
SSEN-1920001030,POINT (-0.539824 51.490854)
SSEN-1920003060,POINT (-0.548774 51.507034)
SSEN-1920003070,POINT (-0.548705 51.505118)
SSEN-1920004010,POINT (-0.5355 51.505164)
SSEN-1920004020,POINT (-0.533829 51.504385)
SSEN-1920004030,POINT (-0.533821 51.504371)
SSEN-1920004040,POINT (-0.531927 51.507077)
SSEN-1920004060,POINT (-0.532235 51.50557)
SSEN-1920004080,POINT (-0.53508 51.50583)
SSEN-1920004100,POINT (-0.534199 51.50679)
SSEN-1920004120,POINT (-0.535497 51.506312)
SSEN-1920006010,POINT (-0.549589 51.502234)
SSEN-1920007010,POINT (-0.547249 51.503813)
SSEN-1920007015,POINT (-0.547378 51.50486)
SSEN-1920007020,POINT (-0.542945 51.502295)
SSEN-1920007025,POINT (-0.548001 51.504156)
SSEN-1920007030,POINT (-0.543394 51.494981)
SSEN-1920007040,POINT (-0.545174 51.493394)
SSEN-1920007060,POINT (-0.540625 51.490585)
SSEN-1920007070,POINT (-0.535804 51.491784)
SSEN-1920008020,POINT (-0.545942 51.499581)
SSEN-1920008040,POINT (-0.548831 51.498888)
SSEN-1920008060,POINT (-0.547203 51.496161)
SSEN-1920008080,POINT (-0.546464 51.494489)
SSEN-1920012120,POINT (-0.542175 51.508805)
SSEN-1920012220,POINT (-0.528271 51.510097)
SSEN-1920012310,POINT (-0.502454 51.504582)
SSEN-1920012320,POINT (-0.493726 51.506673)
SSEN-1920012340,POINT (-0.492182 51.503659)
SSEN-1920012390,POINT (-0.486882 51.49708)
SSEN-1920012400,POINT (-0.481745 51.500368)
SSEN-1922601053,POINT (-0.546295 51.605611)
SSEN-1922601063,POINT (-0.5484 51.60936)
SSEN-1922601073,POINT (-0.543706 51.609824)
SSEN-1922601113,POINT (-0.535075 51.601578)
SSEN-1922602024,POINT (-0.548427 51.615736)
SSEN-1922602044,POINT (-0.548282 51.612155)
SSEN-1922602124,POINT (-0.53682 51.619602)
SSEN-1922602194,POINT (-0.537232 51.626109)
SSEN-1922610074,POINT (-0.546128 51.596842)
SSEN-2212002040,POINT (-0.535179 51.423155)
SSEN-2212002060,POINT (-0.548041 51.413487)
SSEN-2212002090,POINT (-0.547825 51.411695)
SSEN-2212003030,POINT (-0.546819 51.43016)
SSEN-2212003040,POINT (-0.548209 51.428632)
SSEN-2212003060,POINT (-0.542187 51.429816)
SSEN-2212003080,POINT (-0.542519 51.428409)
SSEN-2212003100,POINT (-0.544788 51.428104)
SSEN-2212003285,POINT (-0.548538 51.400976)
SSEN-2212003288,POINT (-0.549314 51.406453)
SSEN-2212007040,POINT (-0.546241 51.43255)
SSEN-2212007060,POINT (-0.541221 51.43484)
SSEN-2212007080,POINT (-0.540408 51.434173)
SSEN-2212007100,POINT (-0.538168 51.434955)
SSEN-2212007130,POINT (-0.546554 51.434996)
SSEN-2212007140,POINT (-0.547656 51.440612)
SSEN-2212007170,POINT (-0.535902 51.435628)
SSEN-2212008010,POINT (-0.546842 51.430908)
SSEN-2212008020,POINT (-0.543094 51.430691)
SSEN-2212008030,POINT (-0.549804 51.429596)
SSEN-2212008080,POINT (-0.548805 51.42569)
SSEN-2212008090,POINT (-0.536001 51.428921)
SSEN-2212008110,POINT (-0.536977 51.42405)
SSEN-2212010010,POINT (-0.548129 51.432507)
SSEN-2212010020,POINT (-0.542425 51.432733)
SSEN-2212010070,POINT (-0.543288 51.434542)
SSEN-2212010080,POINT (-0.540906 51.432766)
SSEN-2500001020,POINT (-0.351292 51.541607)
SSEN-2500001040,POINT (-0.352251 51.543824)
SSEN-2500001080,POINT (-0.359432 51.546263)
SSEN-2500001100,POINT (-0.369275 51.5489)
SSEN-2500001110,POINT (-0.369815 51.551533)
SSEN-2500001130,POINT (-0.363989 51.552288)
SSEN-2500001150,POINT (-0.364837 51.553999)
SSEN-2500001160,POINT (-0.365953 51.554653)
SSEN-2500001170,POINT (-0.370591 51.554052)
SSEN-2500001175,POINT (-0.355485 51.558248)
SSEN-2500001180,POINT (-0.351029 51.557277)
