Agent,Baseline Costs,P2P Costs,Savings %,P2P (kWh),Grid (kWh),Peer Trade %
1_Prosumer,-164892.2,-136848.46,17.01,5931.03,3204.31,64.92
2_Prosumer,-130158.63,-125094.29,3.89,1134.22,5836.75,16.27
3_Prosumer,-95350.67,-92709.95,2.77,648.45,5035.11,11.41
4_Prosumer,-113329.42,-111580.59,1.54,429.31,6009.81,6.67
5_Prosumer,-118145.01,-117102.52,0.88,254.35,6416.26,3.81
6_Buyer,-162313.07,-157553.58,2.93,1243.57,7398.67,14.39
7_Buyer,-146565.78,-143336.32,2.2,877.99,6871.09,11.33
8_Seller,16463.6,21951.37,33.33,1215.15,954.08,56.02
9_Seller,16638.13,21492.16,29.17,1029.15,1151.52,47.19
10_Seller,55527.08,80834.1,45.58,5255.29,913.39,85.19
COMMUNITY TOTAL,-842125.9700000001,-759948.08,9.76,18018.51,43790.99,29.15
