data_collection_log_timestamp,SSEN-2503607020,SSEN-2506608140,SSEN-2509015020,SSEN-2518012120,SSEN-2521012110,SSEN-2522012150,SSEN-2803012140,SSEN-7900001010,SSEN-7900004087,SSEN-7991001005,SSEN-8034001010,SSEN-8079001005,SSEN-8103001005,SSEN-8184001005,SSEN-8184001020
2024-02-12 00:00:00+00:00,11014,21061,11427,12281,33567,35274,28842,31991,23367,7791,6787,636,10492,16033,17306
2024-02-12 01:00:00+00:00,19662,19022.5,48364,10092.5,28927.5,33158.5,32407.5,28107.5,15877,6886,5643.5,452,11633.5,15757.5,15442.5
2024-02-12 02:00:00+00:00,16286,16828,29317.5,8460.5,22420.5,24779.5,30920.5,26007,12608,5690.5,4615.5,371,11097,13369,13824.5
2024-02-12 03:00:00+00:00,13058,15620.5,15966.5,6953.5,20769.5,21378.5,25012,29601.5,11899.5,5442,3774.5,302.5,9072,11021.5,13953.5
2024-02-12 04:00:00+00:00,9471.5,15402,14368,6486.5,23164,17622,21078,31625.5,11709.5,5152,3636,375.5,8870,10411,12180.5
2024-02-12 05:00:00+00:00,9256.5,14975.5,12113.5,7407.5,25693,15883,18203.5,37927,11155,5070.5,3698,381,11598,9991,11674
2024-02-12 06:00:00+00:00,9679,17718,11362.5,8540.5,25728.5,15790,18228.5,33393.5,10759,5383,3705.5,563,10721.5,10569,13363.5
2024-02-12 07:00:00+00:00,6287,20881.5,10260,11157,24892,22918,23642.5,34928,14348.5,7349.5,4994.5,527,11199,15448.5,19631.5
2024-02-12 08:00:00+00:00,2682,23088.5,8699,10418.5,28090.5,26524,25854,39992,16318.5,8558,8397.5,455,12769,21937.5,25342
2024-02-12 09:00:00+00:00,3300,25589.5,8989,11079,29975,22711,31470.5,35869.5,19502.5,10943.5,8084,363.5,13890.5,24473.5,26980
2024-02-12 10:00:00+00:00,3062,28655.5,8471,12918.5,30055.5,23748.5,31553,33362,18908,12837,8448,401,13540.5,30679,28959
2024-02-12 11:00:00+00:00,4330.5,27362.5,7249.5,11946.5,33334,23565.5,34845,27518,17418,13781,8467,329,12259.5,28704,30861.5
2024-02-12 12:00:00+00:00,5396.5,26232,7079.5,11358.5,32682.5,19760.5,30109,32990.5,20281,12535.5,8798,438.5,15271.5,27123.5,31433
2024-02-12 13:00:00+00:00,6226,25601,5164,11343.5,29564,23522.5,30593,40284.5,19076.5,13539.5,10916,471.5,15356.5,32016,33502.5
2024-02-12 14:00:00+00:00,4331.5,22483.5,7081.5,12090,28846.5,23976,24228.5,36082.5,19454,10543.5,8813.5,501,13515.5,27472,29813
2024-02-12 15:00:00+00:00,4040,23814.5,6256.5,13073,29060.5,21425.5,25341,32573,17457.5,10285.5,6454.5,347,12987.5,25213.5,27289
2024-02-12 16:00:00+00:00,5061,23317,9950.5,11954,31927,24538,29086,37080.5,17690.5,9747,7991,326,13995.5,25561.5,28867.5
2024-02-12 17:00:00+00:00,4450.5,26868,10182,14851,35021.5,32150.5,34797,40409,20957.5,11425,9300.5,313.5,17597,29096.5,30968.5
2024-02-12 18:00:00+00:00,6242,31637,11405.5,20060,43663,39249.5,49769.5,55827.5,24920.5,14583.5,10815,949,20763.5,35566.5,34821
2024-02-12 19:00:00+00:00,7433,33282.5,10998,20092.5,42255,47048,53053.5,57133.5,33087.5,18952,10844,2236,19455.5,48072,40575
2024-02-12 20:00:00+00:00,7267.5,39381,12455,18191.5,45521.5,45511.5,42205,52764,32873.5,16861,11112,1929,19836,48074,36656.5
2024-02-12 21:00:00+00:00,6173,34373,10823.5,18075,36287,46227.5,42375,47880.5,30953.5,13510.5,10082.5,1921,17533.5,40231,36479
2024-02-12 22:00:00+00:00,4993.5,30788,7845,17285,34738.5,38478.5,37766.5,52490,24965.5,10798.5,10580.5,831.5,15983,34204.5,26974.5
2024-02-12 23:00:00+00:00,3388,22412.5,9369,15218.5,32424.5,28782.5,27768.5,38911.5,24098,8435,9092.5,1044.5,17223,25784.5,21630
2024-02-13 00:00:00+00:00,6884.5,24904,12952,12567.5,28210.5,32521.5,22707,33635,19812,7257.5,6498,395,14482.5,20637,17883
