day,hour,soc,action_power
0,0,0.0,0.0
0,1,0.0,0.0
0,2,0.24,0.25263158000095004
0,3,0.62,0.40000000000095004
0,4,0.62,9.5e-13
0,5,1.0,0.40000000000095004
0,6,0.84210526,-0.15
0,7,0.42105263,-0.4
0,8,0.0,-0.4
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.24,0.25263158
0,14,0.62,0.4
0,15,1.0,0.4
0,16,1.0,0.0
0,17,0.57894737,-0.4
0,18,0.15789474,-0.4
0,19,0.022631579,-0.1285
0,20,0.0,-0.0215
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
1,0,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,3,0.0,0.0
1,4,0.0,0.0
1,5,0.0,0.0
1,6,0.0,0.0
1,7,0.0,0.0
1,8,0.0,0.0
1,9,0.0,0.0
1,10,0.0,0.0
1,11,0.0,0.0
1,12,0.0,0.0
1,13,0.38,0.4
1,14,0.76,0.4
1,15,1.0,0.25263158
1,16,0.98479026,-0.01444925
1,17,0.56373763,-0.4
1,18,0.142685,-0.4
1,19,0.15,0.00770000000095
1,20,0.070526316,-0.0755
1,21,0.0,-0.067
1,22,0.0,0.0
1,23,0.0,0.0
2,0,0.0,0.0
2,1,0.0,0.0
2,2,0.0,0.0
2,3,0.0,0.0
2,4,1e-12,9.5e-13
2,5,0.0,-9.5e-13
2,6,1e-12,9.5e-13
2,7,0.0,-9.5e-13
2,8,0.0,0.0
2,9,0.0,0.0
2,10,0.0,0.0
2,11,0.0,0.0
2,12,0.0,0.0
2,13,0.24,0.25263158
2,14,0.62,0.4
2,15,1.0,0.4
2,16,1.0,9.9990192e-13
2,17,0.71236737,-0.273251
2,18,0.29131474,-0.4
2,19,0.32589474,0.0364
2,20,0.23410526,-0.0872
2,21,0.11621053,-0.112
2,22,0.0,-0.1104
2,23,0.0,0.0
3,0,1e-12,9.5e-13
3,1,0.0,-9.5e-13
3,2,1e-12,9.5e-13
3,3,2e-12,9.5e-13
3,4,0.0,-1.9e-12
3,5,1e-12,9.5e-13
3,6,2e-12,9.5e-13
3,7,0.0,-1.9e-12
3,8,0.0,0.0
3,9,0.0,0.0
3,10,0.0,0.0
3,11,-2.0026316e-12,-1.9025e-12
3,12,0.24,0.25263158
3,13,0.24,0.0
3,14,0.62,0.4
3,15,1.0,0.4
3,16,1.0,0.0
3,17,0.57894737,-0.4
3,18,0.15789474,-0.4
3,19,0.0,-0.15
3,20,0.0,0.0
3,21,0.0,0.0
3,22,1e-12,9.5e-13
3,23,0.0,-1.95e-12
4,0,0.0,0.0
4,1,0.0,0.0
4,2,1e-12,9.5e-13
4,3,0.074631579,0.07855955700095
4,4,0.45463158,0.40000000000095004
4,5,0.16073684,-0.2792
4,6,0.0,-0.1527
4,7,1e-12,9.5e-13
4,8,1e-12,0.0
4,9,0.0,-9.5e-13
4,10,1e-12,9.5e-13
4,11,2e-12,9.5e-13
4,12,2e-12,0.0
4,13,0.38,0.40000000000095004
4,14,0.62,0.25263158000095004
4,15,1.0,0.40000000000095004
4,16,1.0,1.94966818e-12
4,17,0.93568421,-0.0611
4,18,0.51463158,-0.4
4,19,0.20652632,-0.2927
4,20,0.0,-0.1962
4,21,0.0,0.0
4,22,0.0,0.0
4,23,0.0,-1e-12
5,0,0.0,0.0
5,1,0.035245,0.03710000000095
5,2,0.09728,0.06530000000095
5,3,0.19266,0.10040000000095001
5,4,0.307515,0.12090000000095
5,5,0.307515,0.0
5,6,0.0,-0.29213925
5,7,0.38,0.40000000000095004
5,8,0.38,0.0
5,9,0.38,0.0
5,10,0.0,-0.361
5,11,0.0,0.0
5,12,0.0,0.0
5,13,0.24,0.25263158
5,14,0.62,0.4
5,15,1.0,0.4
5,16,1.0,0.0
5,17,1.0,0.0
5,18,0.57894737,-0.4
5,19,0.20010526,-0.3599
5,20,0.0,-0.1901
5,21,0.0,0.0
5,22,0.0,0.0
5,23,0.0,-1e-12
6,0,0.0,0.0
6,1,1e-12,9.5e-13
6,2,2e-12,9.5e-13
6,3,0.22747368,0.23944598000095
6,4,0.22747368,9.5e-13
6,5,0.021157895,-0.196
6,6,0.0,-0.0201
6,7,1e-12,9.5e-13
6,8,0.0,-9.5e-13
6,9,0.0,0.0
6,10,1e-12,9.5e-13
6,11,1e-12,0.0
6,12,0.38,0.4
6,13,0.76,0.4
6,14,1.0,0.25263158
6,15,1.0,0.0
6,16,1.0,0.0
6,17,1.0,0.0
6,18,0.73094737,-0.2556
6,19,0.39263158,-0.3214
6,20,0.0,-0.373
6,21,0.0,0.0
6,22,0.0,0.0
6,23,0.0,-1e-12
7,0,1e-12,9.5e-13
7,1,2e-12,9.5e-13
7,2,3e-12,9.5e-13
7,3,4e-12,9.5e-13
7,4,0.28547368,0.30049861000095
7,5,0.28547368,0.0
7,6,0.0,-0.2712
7,7,1e-12,9.5e-13
