hour,nobatt_p2p_avg,ppo_p2p_avg,ppo_soc_avg
0,0.330313605,0.330313605,0.000986034
1,0.32870272,0.329882081,0.004274893
2,0.32217211,0.338178804,0.037507698
3,0.314400679,0.337808025,0.158640137
4,0.310659863,0.336897305,0.292386176
5,0.323006121,0.344662517,0.375163986
6,0.362613607,0.357792408,0.34462984
7,0.397663266,0.362474461,0.233345168
8,0.406382994,0.371433656,0.137563989
9,0.369523809,0.359035939,0.101167378
10,0.337703403,0.375496715,0.15432902
11,0.33492721,0.457569628,0.357000203
12,0.34362245,0.484265035,0.65430495
13,0.357148979,0.452108315,0.889852524
14,0.365605442,0.395639589,0.987828722
15,0.341095239,0.352288107,1
16,0.332008162,0.32,0.725574045
17,0.363078912,0.34,0.335626411
18,0.377301361,0.323599069,0.067204524
19,0.382085714,0.372894932,0.013395801
20,0.381789797,0.381423075,0.010009659
21,0.377037415,0.377037415,0.010305999
22,0.366440136,0.366440136,0.00964387
23,0.352017686,0.352017686,0.00954086
