Agent,Baseline Costs,P2P Costs,Savings %,P2P (kWh),Grid (kWh),Peer Trade %,Shortage Periods,Surplus Periods,Balance Periods
1_Prosumer,-904.51,-744.81,17.66,1252.51,652.08,65.76,,,
2_Prosumer,-820.06,-789.19,3.76,221.16,1350.48,14.07,,,
3_Prosumer,-823.04,-810.93,1.47,97.14,1511.57,6.04,,,
4_Prosumer,-739.12,-731.57,1.02,66.82,1393.82,4.58,,,
5_Prosumer,-812.69,-807.96,0.58,40.93,1555.6,2.56,,,
6_Buyer,-1004.27,-986.14,1.81,171.34,1761.17,8.87,,,
7_Buyer,-834.34,-822.94,1.37,111.27,1508.48,6.87,,,
8_Seller,71.13,99.64,40.09,239.53,96.5,71.28,,,
9_Seller,70.72,95.31,34.78,200.62,132.21,60.28,,,
10_Seller,323.16,478.11,47.95,1174.57,144.93,89.02,,,
COMMUNITY TOTAL,-5473.0199999999995,-5020.48,8.27,3575.8900000000003,10106.84,26.13,3206.0,322.0,0.0
