timestep,episode,reward,source
0,0,0.0,train
0,0,0.0,eval
10000,416,1.6640935881063341,eval
20000,833,2.949088272661902,eval
24000,1000,0.905129,train
30000,1250,4.320781408809125,eval
40000,1666,4.935633179591969,eval
48000,2000,3.714374,train
50000,2083,5.996127565135248,eval
60000,2500,4.664155549317366,eval
70000,2916,4.023052078019828,eval
72000,3000,4.569147,train
80000,3333,3.748716866108589,eval
90000,3750,3.7047205955721436,eval
96000,4000,4.562293,train
100000,4166,4.7347186542581765,eval
110000,4583,4.391186939366162,eval
120000,5000,3.66964,train
120000,5000,6.245608149270993,eval
130000,5416,4.495853016525507,eval
140000,5833,5.823260784894228,eval
144000,6000,3.597107,train
150000,6250,4.6233920258615395,eval
160000,6666,3.369452317082323,eval
168000,7000,2.934443,train
170000,7083,4.748963194526732,eval
180000,7500,4.628296395763755,eval
190000,7916,5.521395502721134,eval
192000,8000,3.022996,train
200000,8333,6.242436544410884,eval
210000,8750,4.11240622214973,eval
216000,9000,6.155131,train
220000,9166,4.756496901577338,eval
230000,9583,3.5362204710021614,eval
240000,10000,3.476382,train
240000,10000,5.000696619227528,eval
250000,10416,4.838206863962114,eval
260000,10833,5.1061430990695955,eval
264000,11000,2.898777,train
270000,11250,6.510654550231993,eval
280000,11666,4.904553013760596,eval
288000,12000,3.31944,train
290000,12083,5.67916884496808,eval
300000,12500,4.230176534224301,eval
310000,12916,3.7569011978572235,eval
312000,13000,3.193983,train
320000,13333,4.902629709953908,eval
330000,13750,4.652423283038661,eval
336000,14000,3.745231,train
340000,14166,6.410471306741238,eval
350000,14583,5.512262541614473,eval
360000,15000,3.657486,train
360000,15000,4.462337349541485,eval
370000,15416,4.5438473508926105,eval
380000,15833,3.3885588217905025,eval
384000,16000,3.761709,train
390000,16250,5.5262398227641825,eval
400000,16666,4.857522713579238,eval
408000,17000,5.079082,train
410000,17083,5.787780695973197,eval
420000,17500,5.691904322477058,eval
430000,17916,5.326906532980502,eval
432000,18000,3.045321,train
440000,18333,5.403409015387297,eval
450000,18750,3.8024315501563253,eval
456000,19000,4.169245,train
460000,19166,4.653401991951978,eval
470000,19583,5.1197110713459555,eval
480000,20000,4.755373,train
480000,20000,4.564406060229521,eval
490000,20416,6.923049814254045,eval
500000,20833,5.497027625888586,eval
