timestep,episode,reward,source
0,0,0.0,train
0,0,0.0,eval
10000,416,3.584623134834692,eval
20000,833,4.257514958432876,eval
24000,1000,5.230113,train
30000,1250,5.356618311512284,eval
40000,1666,5.639694104064256,eval
48000,2000,4.624306,train
50000,2083,6.965119597851299,eval
60000,2500,5.342322645615786,eval
70000,2916,4.536617412464693,eval
72000,3000,4.799337,train
80000,3333,3.8690834043547513,eval
90000,3750,4.163347891508602,eval
96000,4000,5.067659,train
100000,4166,5.744056806247682,eval
110000,4583,5.205250312329736,eval
120000,5000,4.507793,train
120000,5000,6.548771791951731,eval
130000,5416,4.849488405371085,eval
140000,5833,6.123459603299852,eval
144000,6000,4.786218,train
150000,6250,4.765689416974783,eval
160000,6666,3.4774775207974016,eval
168000,7000,3.245723,train
170000,7083,4.997124339931179,eval
180000,7500,4.5137689180905,eval
190000,7916,5.722963205282577,eval
192000,8000,3.16036,train
200000,8333,6.279308419581502,eval
210000,8750,4.3140082731842995,eval
216000,9000,7.640017,train
220000,9166,4.738908663764596,eval
230000,9583,3.489957763045095,eval
240000,10000,3.250121,train
240000,10000,5.203010877640918,eval
250000,10416,4.925797354383394,eval
260000,10833,5.18083855911973,eval
264000,11000,2.936751,train
270000,11250,6.489733230951242,eval
280000,11666,5.158462089300156,eval
288000,12000,3.45753,train
290000,12083,5.59822938060388,eval
300000,12500,4.340803291695193,eval
310000,12916,3.8601134242489934,eval
312000,13000,3.02887,train
320000,13333,5.379637965909206,eval
330000,13750,4.975164719880558,eval
336000,14000,3.551393,train
340000,14166,6.236357445130125,eval
350000,14583,5.469604356586933,eval
360000,15000,4.923176,train
360000,15000,4.457073002122343,eval
370000,15416,4.5320514373481275,eval
380000,15833,3.1784405816346406,eval
384000,16000,4.144491,train
390000,16250,5.2038835540413855,eval
400000,16666,4.2390289133181795,eval
408000,17000,6.118595,train
410000,17083,5.996816106582992,eval
420000,17500,5.504428792651742,eval
430000,17916,5.497801623865962,eval
432000,18000,2.917678,train
440000,18333,5.156381529010832,eval
450000,18750,3.6068893429401214,eval
456000,19000,4.256923,train
460000,19166,4.365546589664882,eval
470000,19583,4.930241396836936,eval
480000,20000,4.835471,train
480000,20000,4.775219049490988,eval
490000,20416,6.610694335098378,eval
500000,20833,5.3747667703777555,eval
