Agent,Baseline Costs,P2P Costs,Savings %,P2P (kWh),Grid (kWh),Peer Trade %,Shortage Periods,Surplus Periods,Balance Periods
1_Prosumer,-981.07,-817.67,16.66,1246.16,684.19,64.56,,,
2_Prosumer,-820.06,-794.87,3.07,210.4,1361.23,13.39,,,
3_Prosumer,-823.04,-811.78,1.37,96.68,1512.02,6.01,,,
4_Prosumer,-739.12,-731.99,0.97,64.16,1396.49,4.39,,,
5_Prosumer,-812.69,-808.33,0.54,38.13,1558.4,2.39,,,
6_Buyer,-1004.27,-985.31,1.89,178.61,1753.89,9.24,,,
7_Buyer,-834.34,-822.26,1.45,117.6,1502.15,7.26,,,
8_Seller,71.13,98.26,38.15,225.58,110.45,67.13,,,
9_Seller,70.72,94.55,33.69,192.77,140.06,57.92,,,
10_Seller,323.16,477.56,47.78,1169.46,150.04,88.63,,,
COMMUNITY TOTAL,-5549.58,-5101.839999999999,8.07,3539.55,10168.92,25.82,3189.0,339.0,0.0
