Agent,Baseline Costs,P2P Costs,Savings %,P2P (kWh),Grid (kWh),Peer Trade %,Shortage Periods,Surplus Periods,Balance Periods
1_Prosumer,-911.49,-750.09,17.71,1266.99,634.84,66.62,,,
2_Prosumer,-820.06,-790.07,3.66,215.32,1356.32,13.7,,,
3_Prosumer,-823.04,-811.29,1.43,94.27,1514.43,5.86,,,
4_Prosumer,-739.12,-731.31,1.06,68.87,1391.78,4.71,,,
5_Prosumer,-812.69,-807.64,0.62,43.47,1553.06,2.72,,,
6_Buyer,-1004.27,-985.95,1.82,170.96,1761.55,8.85,,,
7_Buyer,-834.34,-822.71,1.39,112.14,1507.61,6.92,,,
8_Seller,71.13,99.89,40.44,242.76,93.27,72.24,,,
9_Seller,70.72,95.17,34.58,199.26,133.57,59.87,,,
10_Seller,323.16,477.92,47.89,1173.55,145.95,88.94,,,
COMMUNITY TOTAL,-5480.0,-5026.08,8.28,3587.59,10092.380000000001,26.23,3203.0,325.0,0.0
