Agent,Baseline Costs,P2P Costs,Savings %,P2P (kWh),Grid (kWh),Peer Trade %,Shortage Periods,Surplus Periods,Balance Periods
1_Prosumer,-164892.2,-130520.79,20.84,5441.94,3646.17,59.88,,,
2_Prosumer,-130158.63,-115274.14,11.44,1306.59,5666.17,18.74,,,
3_Prosumer,-95350.67,-84450.1,11.43,610.31,5050.85,10.78,,,
4_Prosumer,-113329.42,-103507.61,8.67,431.23,5994.26,6.71,,,
5_Prosumer,-118145.01,-109209.25,7.56,269.83,6410.75,4.04,,,
6_Buyer,-162313.07,-149373.85,7.97,1289.69,7414.04,14.82,,,
7_Buyer,-146565.78,-136150.16,7.11,839.07,7022.28,10.67,,,
8_Seller,16463.6,27263.19,65.6,1648.41,1400.16,54.07,,,
9_Seller,16638.13,26184.03,57.37,1351.31,1706.61,44.19,,,
10_Seller,55527.08,79726.71,43.58,4882.82,1276.33,79.28,,,
COMMUNITY TOTAL,-842125.9700000001,-695311.97,17.43,18071.199999999997,45587.62000000001,28.39,14176.0,3368.0,0.0
