Agent,Baseline Costs,P2P Costs,Savings %,P2P (kWh),Grid (kWh),Peer Trade %,Shortage Periods,Surplus Periods,Balance Periods
1_Prosumer,-4712.71,-3910.95,17.01,5931.59,3202.62,64.94,,,
2_Prosumer,-3720.14,-3575.49,3.89,1133.64,5837.33,16.26,,,
3_Prosumer,-2725.26,-2649.82,2.77,648.43,5035.13,11.41,,,
4_Prosumer,-3239.13,-3189.17,1.54,429.31,6009.81,6.67,,,
5_Prosumer,-3376.8,-3347.02,0.88,254.35,6416.26,3.81,,,
6_Buyer,-4642.23,-4506.24,2.93,1243.57,7398.67,14.39,,,
7_Buyer,-4191.31,-4099.04,2.2,877.99,6871.09,11.33,,,
8_Seller,470.38,627.18,33.33,1215.15,954.08,56.02,,,
9_Seller,475.37,614.06,29.17,1029.15,1151.52,47.19,,,
10_Seller,1582.81,2305.86,45.68,5255.29,913.39,85.19,,,
COMMUNITY TOTAL,-24079.02,-21730.63,9.75,18018.47,43789.899999999994,29.15,14795.0,2749.0,0.0
